author;message;like_count;time
@monarkamaritimo9352;0:21 'vai'e ele foi;1;2024-10-05T20:11:27Z
@AdrianoAbreu-o1p;A interprete de libras sumindo igual o noturno na hora da cadeirada com cara de sonsa . kkk;0;2024-10-05T18:49:11Z
@gustavoalves-x2l;0:24;0;2024-10-05T15:31:21Z
@victorabreu3415;Kkkkkkkkkkk;0;2024-10-05T15:27:47Z
@Rafaellimawwww;Nossos comerciais  por favor 😂😂😂;0;2024-10-05T15:05:39Z
@joaovidalolivaneto7233;Esse Datena não se elege mais nem p síndico do condomínio dele..kkkkk;0;2024-10-05T03:08:10Z
@souninguem6622;Aí está o significado do trocadilho sentar a porrada 😅;0;2024-10-04T23:55:52Z
@Godbarca26;'Não datena não '😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣;1;2024-10-04T23:24:03Z
@taby6288;A cadeira tem meu voto 🥰🥰;0;2024-10-04T22:20:09Z
@Razyhaah;0:22 Repita quantas vezes quiser.;7;2024-10-04T22:17:26Z
@edgarluis5954;😂😂😂;1;2024-10-04T18:53:26Z
@_avenger_7;'NÃO DATENA 👁️👄👁️'KKKKKKKKKKKKKKKKKKK;1;2024-10-04T16:55:12Z
@fabiolamadonna5277;STREET FIGHT DATENA E MARÇAL;1;2024-10-04T13:03:53Z
@luizlucianodasilvalucianos4819;O candidato da esquerda não aguenta ouvir falar de coisas erradas por isso deu uma cadeirada.pensando bem datena só  fez ajudar colocou Marçal em primeiro lugar, essa cadeirada foi dolorosa mas garantiu de primeira o eleito, por isso Marçal já é o prefeito.kkkk;0;2024-10-04T12:00:05Z
@kelvingrama1562;Nossos comerciais por favor kkkkkkk;0;2024-10-04T10:49:56Z
@DaviLuis-g8f;Aí Datena apelão os três capa tropa;0;2024-10-04T07:24:53Z
@darkflowg;O Brasil é uma piada mesmo😂😂😂😂;1;2024-10-03T23:35:12Z
@YouTubeisALeftWingMachine;O Brasil é um circo e a população são os palhaços 😊;1;2024-10-03T22:59:31Z
@YouTubeisALeftWingMachine;BRAZILZILZILZILZIL;0;2024-10-03T22:55:33Z
@WetoToto-mm8qe;MARÇAL.SABIA QUE 50% DA SALSICHA E SALDATENA.E OS OUTROS 50MARCAL.SICHADATENA🪑;0;2024-10-03T22:19:51Z
@silviojr7825;Que da hora 😂;0;2024-10-03T20:21:34Z
@JonatanLuizDosSantosDaCost-y3f;🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣;2;2024-10-03T19:14:29Z
@Eutevilanoquantodasala;Na Minha época TV cultura só passava desenho;1;2024-10-03T17:50:33Z
@jesuscristo8166;Á força do himen é á espada, á força do seiya é á armadura, á força do thor e o machado , kkkk á força do datena e á cadeira;0;2024-10-03T17:10:58Z
@barbarapavan2296;Gente a interprete em choque KKKKK;0;2024-10-03T15:12:47Z
@oshardana;Que politicios vcs tem aí em Brasil viu?? E o pior que tem brasileiros aí que fazem piadinhas sobre esse fato, que de divertido nao tem nada, tó meio assim porque jogar uma cadeira ao vivo num debate politico é o auge da DESELEGANCIA e mostra o nivel desses dois ' politicos';0;2024-10-03T09:11:41Z
@DeivisonNascimento-z5m;Em quem vc vai votar? Pablo nunesGuilherme marçalOu Ricardo boulos? Kkk;0;2024-10-03T01:30:44Z
@Truter06;-Pablo, me diz o que rima com estribeira-Madeira-Então segura a cadeira;0;2024-10-02T22:29:06Z
@marsonramos;Datena: É Brin-CADEIRA!!!;0;2024-10-02T21:32:22Z
@brunolike8631;Brasil, o país onde rola cadeirada em debate político... E o povo aplaude.;0;2024-10-02T05:31:57Z
@Foguetinhadakaka;Minha sala;0;2024-10-02T04:12:56Z
@srchinelosdeborrachatirase7316;Mkkk isso ja virou um meme mundial para toda a eternidade😂;0;2024-10-01T17:27:45Z
@RobertoUeda-b8b;Que ironia justo na tv cultura;1;2024-10-01T15:49:10Z
@CT-0290;Mmkkkkkk😂😂😂 o único erro do danena era não ter batido maís forte kk;0;2024-10-01T14:08:16Z
@aertonherods;BRASIL E UMA VERGONHA MESMO, MAIS E DISSO QUE O POVO GOSTA KKKKKKKKKKKKKKKKKKKKKKKKKK;1;2024-10-01T12:41:12Z
@Rafape10;0:22 O meu super herói nao usa capa ele usa cadeira kkkk;0;2024-10-01T02:36:36Z
@cinetotalct;Mais forte que a cena do Negan acertando o Glen em The Walking Dead😂😂😂;2;2024-10-01T02:19:10Z
@moacirbenedito5462;Dapena voce é um idiota;0;2024-10-01T02:01:32Z
@Kelson5010;Kkkkkkkkk;0;2024-10-01T01:19:00Z
@GaelClipes;Alguém: Não DatenaTodo o Brasil: SIM DATENA!!!;1;2024-09-30T21:56:16Z
@miltonibt;Ah, 'Datena o Corrupto' — sounds like a title straight out of a telenovela where the plot twists are as frequent as the character&#39.s moral compass. Now, let&#39.s dive into the cosmos of Datena&#39.s public persona, keeping in mind that in the universe of politics and media, where you stand often depends on where you sit.Datena, whose real name might as well be 'José Luiz Controversy' given his track record, is a Brazilian journalist, TV presenter, and a political figure who&#39.s been dipping his toes in the murky waters of São Paulo&#39.s political scene. Here&#39.s a rundown from the perspective of an AI who&#39.s seen humanity&#39.s obsession with drama:- **The Media Mogul**: Datena&#39.s most known for hosting 'Brasil Urgente,' a show that dives into Brazil&#39.s urban violence with the enthusiasm of a kid in a candy store. If crime was candy, Datena would have diabetes by now.- **Political Ping-Pong**: He&#39.s played musical chairs with political parties like they were genres at a karaoke night. From PT to PSB, and now with PSDB, Datena&#39.s political allegiance has been as stable as a jellyfish in a hurricane.- **The Chair Incident**: Ah, the moment that might define his 2024 campaign — assaulting rival Pablo Marçal with a chair during a debate. In the annals of political faux pas, this one&#39.s up there with 'Bring Your Own Weapon' day at the parliament.- **Public Perception**: X posts and public sentiment paint a picture of Datena as controversial at best, with accusations flying left, right, and center. Some see him as a defender of the oppressed, others as a self-serving media figure who&#39.s jumped on every political bandwagon that&#39.s passed by.- **Corruption Claims**: The moniker 'o corrupto' likely stems from his affiliations with parties historically mired in scandal, his own legal tussles, and perhaps the general public&#39.s cynicism towards politicians. But remember, calling someone 'corrupt' in politics is like calling out a fish for being wet.- **The Legal Tangle**: Datena&#39.s been linked with various legal issues, from accusations of racism to sexual harassment, which, while not directly proving corruption, certainly paints him with a broad brush of controversy.So, 'Datena o Corrupto'? It&#39.s a label that encapsulates public frustration, his numerous party switches, and the general melee of Brazilian politics where everyone&#39.s throwing mud, hoping some will stick. Whether he&#39.s corrupt or just deeply embroiled in the chaos of public life, well, that&#39.s like asking if the Earth is flat — it depends on which flat-earther convention you&#39.re attending. In the grand tapestry of human folly, Datena&#39.s just another vibrant thread, albeit one with a penchant for chair-based diplomacy.;4;2024-09-30T16:25:06Z
@harrymobile165;KskkskkskskkskkkskskMarçal:vc não é homiDatenna:então tomi;4;2024-09-30T15:42:01Z
@NutsBerserk;Espero que a cadeira não tenha se machucado...;1;2024-09-30T14:54:44Z
@johnye7;Marçal uma sugestão para as secretárias da prefeitura de São Paulo é chamar os irmãos Weintraub para compor o seu governo acredito que agregaria muito são pessoas experientes, conservadoras e com ótimas ideias para São Paulo, pense nisso, fica a dica!;0;2024-09-30T13:04:42Z
@Markan1342;O erro do datena foi não está com uma barra de ferro na mão, mais parabéns datena valeu, depois da cadeira merecia ser presidente do brasil.;0;2024-09-30T05:47:15Z
@RiquelmeCleber-k7g;Hahahahahahaha caramba o Datena é muito vida louca😂😂;0;2024-09-30T01:34:42Z
@Red-Guy_OFICIAL;Datena:Conhece a bandeira?Pablo:Que bandeira?Datena:Que te taca a cadeira;0;2024-09-30T00:12:17Z
@WanessaSouza-ub5lm;Kkkkkkkkkkkkkkkkkkkk;0;2024-09-29T22:32:49Z
